Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Fraud ,21-0149 ,McMurtry College ,05/20/2021 4:45 p.m. ,5/18/2021,midnight ,Tuesday,05/19/2021 midnight ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0150 ,Facilities & Engineering ,05/24/2021 7:23 p.m. ,5/24/2021,8:30 a.m. ,Monday,05/24/2021 7:20 p.m. ,Inactive 
Fraud ,21-0154 ,Off Campus ,05/26/2021 1:21 p.m. ,4/20/2021,12:01 a.m. ,Tuesday,05/26/2021 12:01 a.m. ,Inactive 
Fraud ,21-0155 ,Off Campus ,05/27/2021 1:45 p.m. ,5/27/2021,1 p.m. ,Thursday,05/27/2021 3 p.m. ,Inactive 
Fraud ,21-0156 ,Off Campus ,05/30/2021 5:21 a.m. ,5/20/2021,noon ,Thursday,05/20/2021 noon ,Inactive 
Theft ,21-0157 ,Greenbriar Lot ,06/02/2021 7:38 a.m. ,5/27/2021,6:09 p.m. ,Thursday,06/01/2021 12:39 p.m. ,Inactive 
Burglary (Clery) ,21-0158 ,Anderson Biology ,06/02/2021 9:50 a.m. ,6/1/2021,9 a.m. ,Tuesday,06/02/2021 9:30 a.m. ,Inactive 
Burglary (Clery) ,21-0160 ,George R. Brown Hall ,06/05/2021 11:23 a.m. ,6/4/2021,4 p.m. ,Friday,06/04/2021 4 p.m. ,Inactive 
Theft ,21-0162 ,Jesse H. Jones School ,06/09/2021 2:34 p.m. ,6/9/2021,11:30 a.m. ,Wednesday,06/09/2021 noon ,Inactive 
Theft from a Vehicle ,21-0164 ,North Annex Lot ,06/12/2021 2:47 p.m. ,6/11/2021,10:30 a.m. ,Friday,06/11/2021 10:30 p.m. ,Inactive 
Warrants ,21-0165 ,Off Campus ,06/20/2021 7:55 p.m. ,6/20/2021,7:55 p.m. ,Sunday,06/20/2021 8:15 p.m. ,Inactive 
Harassment ,21-0166 ,Huff House ,06/21/2021 4:36 p.m. ,3/31/2021,7 a.m. ,Wednesday,06/21/2021 3:32 p.m. ,Inactive 
Harassment ,21-0167 ,Off Campus ,06/23/2021 9:34 a.m. ,3/1/2021,5 p.m. ,Monday,06/01/2021 midnight ,Inactive 
Criminal Trespass ,21-0169 ,Hanszen College ,06/29/2021 10:20 p.m. ,6/29/2021,10:15 p.m. ,Tuesday,06/29/2021 10:20 p.m. ,Criminal Arrest 
Public Intoxication ,21-0170 ,Entrance 16 ,07/01/2021 4:36 a.m. ,7/1/2021,4:40 a.m. ,Thursday,07/01/2021 5:45 a.m. ,Criminal Arrest 
Criminal Mischief ,21-0172 ,Sid Richardson College ,07/02/2021 11:36 a.m. ,7/1/2021,5 p.m. ,Thursday,07/02/2021 7 a.m. ,Inactive 
Evading Detention ,21-0173 ,North Colleges Lot ,07/03/2021 12:06 a.m. ,7/3/2021,12:06 a.m. ,Saturday,07/03/2021 1 a.m. ,Inactive 
Failure to Stop and Give Information ,21-0174 ,Cambridge Building ,07/04/2021 9:44 p.m. ,7/4/2021,8:53 p.m. ,Sunday,07/04/2021 8:54 p.m. ,Active 
Driving While Intoxicated ,21-0175 ,Off Campus ,07/05/2021 3:48 a.m. ,7/5/2021,3:48 a.m. ,Monday,07/05/2021 8 a.m. ,Criminal Arrest 
Failure to Stop and Give Information ,21-0176 ,Entrance #1 ,07/06/2021 5:24 p.m. ,7/6/2021,5 p.m. ,Tuesday,07/06/2021 6 p.m. ,Inactive 
Theft from a Vehicle ,21-0177 ,BRC ,07/07/2021 11:28 a.m. ,7/6/2021,midnight ,Tuesday,07/07/2021 11:28 a.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,21-0178 ,Post Office ,07/08/2021 2:58 p.m. ,7/8/2021,2:55 p.m. ,Thursday,07/08/2021 3:32 p.m. ,Inactive 
Theft from a Vehicle ,21-0179 ,McMurtry College ,07/08/2021 5:51 p.m. ,7/5/2021,midnight ,Monday,07/08/2021 12:37 p.m. ,Inactive 
Failure to Identify ,21-0180 ,College Way ,07/16/2021 2:36 p.m. ,7/16/2021,3:08 p.m. ,Friday,07/16/2021 4:11 p.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,21-0181 ,Lovett College ,07/18/2021 7:15 a.m. ,7/17/2021,10 p.m. ,Saturday,07/18/2021 7 a.m. ,Inactive 
Criminal Trespass ,21-0183 ,Jesse H. Jones School ,07/23/2021 10:36 a.m. ,7/23/2021,10:36 a.m. ,Friday,07/23/2021 5:15 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,21-0184 ,Off Campus ,07/27/2021 9:38 a.m. ,7/23/2021,8 a.m. ,Friday,07/24/2021 8 a.m. ,Inactive 
Theft ,21-0186 ,Rice Stadium ,07/27/2021 6:34 p.m. ,7/27/2021,5:45 p.m. ,Tuesday,07/27/2021 6:30 p.m. ,Inactive 
Theft ,21-0187 ,Keck Hall ,07/28/2021 2:18 p.m. ,7/27/2021,10 a.m. ,Tuesday,07/28/2021 1:30 p.m. ,Referred other jurisdiction 
Criminal Mischief ,21-0188 ,South Colleges Lot ,07/29/2021 12:25 p.m. ,7/28/2021,8 p.m. ,Wednesday,07/29/2021 12:30 p.m. ,Inactive 
Theft ,21-0189 ,Maxfield Hall ,07/30/2021 11:02 a.m. ,7/20/2021,8 a.m. ,Tuesday,07/29/2021 5 p.m. ,Inactive 
Theft from a Vehicle ,21-0190 ,BRC ,08/03/2021 9:40 a.m. ,8/2/2021,9 p.m. ,Monday,08/03/2021 9:35 a.m. ,Active 
Theft ,21-0192 ,Off Campus ,08/06/2021 7:04 p.m. ,8/4/2021,midnight ,Wednesday,08/04/2021 5 p.m. ,Active 
Theft from a Vehicle ,21-0195 ,Lovett Lot ,08/07/2021 1:49 p.m. ,5/7/2021,3 p.m. ,Friday,05/07/2021 6 p.m. ,Inactive 
Criminal Mischief ,21-0197 ,West Lot ,08/08/2021 11:40 p.m. ,8/8/2021,9:41 p.m. ,Sunday,08/08/2021 9:42 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0199 ,North Lot ,08/11/2021 9:33 a.m. ,8/11/2021,5:35 a.m. ,Wednesday,08/11/2021 10 a.m. ,County Citiation 
Fraud ,21-0201 ,Off Campus ,08/16/2021 1:25 p.m. ,8/13/2021,1:25 p.m. ,Friday,08/16/2021 1:25 p.m. ,Inactive 
Fraud ,21-0202 ,Off Campus ,08/17/2021 7:07 a.m. ,8/17/2021,6:30 a.m. ,Tuesday,08/17/2021 7:19 a.m. ,Inactive 
Theft ,21-0204 ,Tents ,08/20/2021 8:03 a.m. ,8/19/2021,5:05 p.m. ,Thursday,08/20/2021 7:45 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0205 ,Huff House ,08/20/2021 12:47 p.m. ,8/16/2021,midnight ,Monday,08/20/2021 12:47 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0206 ,South Colleges Lot ,08/21/2021 9:38 p.m. ,8/21/2021,11:30 a.m. ,Saturday,08/21/2021 1:33 p.m. ,Inactive 
Criminal Mischief ,21-0208 ,South Colleges Quad ,08/24/2021 11:33 a.m. ,8/24/2021,6:36 a.m. ,Tuesday,08/24/2021 11:33 a.m. ,Inactive 
Fraud ,21-0209 ,Off Campus ,08/24/2021 12:12 p.m. ,8/24/2021,12:37 a.m. ,Tuesday,08/24/2021 11:16 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0210 ,Space Sciences ,08/25/2021 9:02 a.m. ,8/24/2021,3:40 p.m. ,Tuesday,08/25/2021 6:40 a.m. ,Inactive 
Fraud ,21-0211 ,Wiess College ,08/25/2021 8:18 p.m. ,8/25/2021,11:30 a.m. ,Wednesday,08/25/2021 8:28 p.m. ,Inactive 
Sex Offenses (Non-Forcible) (Clery) ,21-0213 ,South Servery ,08/27/2021 11:34 a.m. ,8/27/2021,7:36 a.m. ,Friday,08/27/2021 7:40 a.m. ,Inactive 
Theft ,21-0214 ,Jones College ,08/28/2021 2:50 p.m. ,8/27/2021,8 p.m. ,Friday,08/28/2021 2 p.m. ,Inactive 
Criminal Mischief ,21-0217 ,Cambridge Building ,08/30/2021 10:24 a.m. ,8/27/2021,7:30 p.m. ,Friday,08/27/2021 7:30 p.m. ,Inactive 
Theft ,21-0218 ,Lovett College ,08/28/2021 5:34 p.m. ,8/12/2021,noon ,Thursday,08/26/2021 9 a.m. ,Inactive 
Burglary (Clery) ,21-0219 ,Jones College ,08/30/2021 3:52 p.m. ,8/28/2021,1:12 a.m. ,Saturday,08/28/2021 1:20 a.m. ,Inactive 
Theft ,21-0220 ,Sid Richardson College ,08/30/2021 7:22 p.m. ,8/29/2021,8 a.m. ,Sunday,08/30/2021 7:10 p.m. ,Inactive 
Fraud ,21-0223 ,Off Campus ,09/01/2021 1:41 p.m. ,9/1/2021,noon ,Wednesday,09/01/2021 12:01 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0224 ,Cambridge Building ,09/04/2021 7:53 p.m. ,9/4/2021,11:30 a.m. ,Saturday,09/04/2021 7:43 p.m. ,Inactive 
Criminal Mischief ,21-0225 ,Rec Center ,09/07/2021 10:37 a.m. ,9/3/2021,11:30 a.m. ,Friday,09/07/2021 8:09 a.m. ,Inactive 
Failure to Stop and Give Information ,21-0226 ,North Annex Lot ,09/07/2021 5:57 p.m. ,9/7/2021,2 p.m. ,Tuesday,09/07/2021 5 p.m. ,Inactive 
Theft ,21-0228 ,Humanities ,09/08/2021 8 a.m. ,9/7/2021,7 a.m. ,Tuesday,09/07/2021 7:15 a.m. ,Inactive 
Theft ,21-0231 ,BRC ,09/09/2021 2:34 p.m. ,9/9/2021,9 a.m. ,Thursday,09/09/2021 2 p.m. ,Inactive 
Sex Offenses (Forcible) (Clery) ,21-0232 ,Baker College ,09/10/2021 2:20 p.m. ,9/10/2021,1:30 a.m. ,Friday,09/10/2021 8:45 a.m. ,Active 
Theft ,21-0233 ,Sid Richardson College ,09/11/2021 9:53 p.m. ,9/11/2021,9:30 a.m. ,Saturday,09/11/2021 9 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0235 ,South Colleges Lot ,09/13/2021 9:31 a.m. ,9/10/2021,noon ,Friday,09/10/2021 noon ,Inactive 
Burglary (Clery) ,21-0236 ,Wiess Presidents House ,09/13/2021 10:46 a.m. ,9/12/2021,5 p.m. ,Sunday,09/13/2021 10:30 a.m. ,Inactive 
Failure to Stop and Give Information ,21-0239 ,Entrance 25 ,09/16/2021 1:21 p.m. ,9/16/2021,11:02 a.m. ,Thursday,09/16/2021 1:15 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0240 ,West Lot ,09/17/2021 1:17 p.m. ,9/17/2021,7:30 a.m. ,Friday,09/17/2021 1:14 p.m. ,Inactive 
Theft ,21-0241 ,West Lot ,09/18/2021 4:51 p.m. ,9/17/2021,3 p.m. ,Friday,09/18/2021 3:20 p.m. ,Inactive 
Theft ,21-0243 ,Greenbriar Lot ,09/19/2021 9:17 p.m. ,9/19/2021,midnight ,Sunday,09/19/2021 8 p.m. ,Inactive 
Theft ,21-0244 ,Lovett College ,09/20/2021 6:12 p.m. ,9/11/2021,5 p.m. ,Saturday,09/11/2021 6:32 p.m. ,Inactive 
Theft ,21-0246 ,Jones College ,09/23/2021 11:21 a.m. ,9/15/2021,noon ,Wednesday,09/22/2021 midnight ,Inactive 
Criminal Mischief ,21-0247 ,W. M. Rice Statue ,09/24/2021 8:09 a.m. ,9/23/2021,5:30 p.m. ,Thursday,09/24/2021 8:09 a.m. ,Inactive 
Theft ,21-0249 ,McMurtry College ,09/25/2021 1:49 p.m. ,9/23/2021,noon ,Thursday,09/25/2021 11 a.m. ,Inactive 
Theft ,21-0251 ,Oshman Engineering ,09/26/2021 12:32 p.m. ,9/4/2021,4:30 p.m. ,Saturday,09/04/2021 6 p.m. ,Active 
Failure to Stop and Give Information ,21-0253 ,Lovett Lot ,09/27/2021 9:12 a.m. ,9/24/2021,8 a.m. ,Friday,09/24/2021 5 p.m. ,Inactive 
Theft ,21-0254 ,Duncan College ,09/27/2021 6:15 p.m. ,9/27/2021,midnight ,Monday,09/27/2021 9 a.m. ,Unfounded 
Theft ,21-0257 ,Sid Richardson College ,09/30/2021 8:29 p.m. ,9/29/2021,midnight ,Wednesday,09/30/2021 6 p.m. ,Inactive 
Theft ,21-0259 ,Rice Village Apartments ,10/01/2021 4:09 p.m. ,9/30/2021,8:30 p.m. ,Thursday,10/01/2021 noon ,Active 
Theft ,21-0260 ,Will Rice College ,10/02/2021 6:42 p.m. ,10/1/2021,2:30 p.m. ,Friday,10/02/2021 11 a.m. ,Active 
Criminal Mischief ,21-0261 ,West Lot ,10/02/2021 5:55 p.m. ,10/2/2021,3 p.m. ,Saturday,10/02/2021 5:55 p.m. ,Inactive 
Fraud ,21-0264 ,Off Campus ,10/04/2021 3:53 p.m. ,9/25/2021,midnight ,Saturday,09/28/2021 midnight ,Inactive 
Theft ,21-0265 ,McMurtry College ,10/05/2021 2:37 p.m. ,10/4/2021,1:30 a.m. ,Monday,10/05/2021 2:30 p.m. ,Active 
Theft ,21-0267 ,BRC ,10/06/2021 8:09 p.m. ,10/5/2021,10:40 a.m. ,Tuesday,10/05/2021 3 p.m. ,Inactive 
Theft ,21-0269 ,Hanszen College ,10/06/2021 10:03 p.m. ,10/6/2021,10 a.m. ,Wednesday,10/06/2021 4 p.m. ,Active 
Fraud ,21-0270 ,Off Campus ,10/07/2021 10:55 p.m. ,10/7/2021,7:35 a.m. ,Thursday,10/07/2021 7:35 a.m. ,Inactive 
Theft ,21-0271 ,West Lot ,10/08/2021 9:07 a.m. ,10/6/2021,12:58 p.m. ,Wednesday,10/08/2021 8:56 a.m. ,Inactive 
Assault ,21-0272 ,Rec Center ,10/08/2021 5:45 p.m. ,10/8/2021,5:30 p.m. ,Friday,10/08/2021 6 p.m. ,Judicial Referral 
Theft ,21-0273 ,Rec Center ,10/08/2021 12:32 a.m. ,9/24/2021,9 p.m. ,Friday,10/08/2021 9 p.m. ,Active 
Theft ,21-0274 ,Will Rice College ,10/11/2021 7:55 a.m. ,10/8/2021,7 a.m. ,Friday,10/11/2021 11 a.m. ,Active 
Theft ,21-0278 ,Kraft Hall ,10/12/2021 1:15 p.m. ,10/11/2021,12:30 p.m. ,Monday,10/12/2021 6:30 p.m. ,Active 
Criminal Mischief ,21-0280 ,South Colleges Lot ,10/13/2021 8:20 a.m. ,10/12/2021,1:30 a.m. ,Tuesday,10/12/2021 7:45 a.m. ,Active 
Criminal Mischief ,21-0281 ,Wiess College ,10/13/2021 10:47 a.m. ,10/13/2021,10:48 a.m. ,Wednesday,10/13/2021 11:15 a.m. ,Active 
Theft ,21-0282 ,BRC ,10/13/2021 10:57 a.m. ,10/13/2021,9:45 a.m. ,Wednesday,10/13/2021 10:45 a.m. ,Inactive 
Fraud ,21-0283 ,Off Campus ,10/12/2021 2:42 p.m. ,10/12/2021,midnight ,Tuesday,10/13/2021 midnight ,Inactive 
Theft ,21-0284 ,Keck Hall ,10/14/2021 3:07 p.m. ,10/14/2021,1 p.m. ,Thursday,10/14/2021 2:15 p.m. ,Active 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0286 ,McMurtry College ,10/15/2021 3:47 p.m. ,10/14/2021,10 p.m. ,Thursday,10/15/2021 9 a.m. ,Active 
Criminal Trespass ,21-0287 ,Jones College ,10/16/2021 6:22 a.m. ,10/16/2021,4:40 a.m. ,Saturday,10/16/2021 4:40 a.m. ,Judicial Referral 
Harassment ,21-0290 ,Off Campus ,10/17/2021 3:03 a.m. ,10/14/2021,midnight ,Thursday,10/17/2021 5:08 a.m. ,Active 
Harassment ,21-0292 ,Kraft Hall ,10/19/2021 8:35 a.m. ,9/14/2021,midnight ,Tuesday,09/14/2021 midnight ,Active 
Harassment ,21-0293 ,Off Campus ,10/20/2021 10:25 p.m. ,10/12/2021,5:04 p.m. ,Tuesday,10/12/2021 5:04 p.m. ,Active 
Criminal Trespass ,21-0295 ,Brockman Engineering Building ,10/22/2021 1:06 p.m. ,10/22/2021,1 p.m. ,Friday,10/22/2021 1:09 p.m. ,Active 
Burglary of a Motor Vehicle ,21-0296 ,Morningside Building ,10/22/2021 11:38 p.m. ,10/22/2021,3:30 p.m. ,Friday,10/22/2021 11:30 p.m. ,Inactive 
Burglary of a Motor Vehicle ,21-0297 ,Off Campus ,10/23/2021 12:12 a.m. ,10/22/2021,3:25 p.m. ,Friday,10/22/2021 9:30 p.m. ,Inactive 
Criminal Mischief ,21-0299 ,Martel College ,10/24/2021 12:55 p.m. ,10/24/2021,2 a.m. ,Sunday,10/24/2021 2 a.m. ,Inactive 
Theft from a Vehicle ,21-0302 ,Cambridge Building ,10/25/2021 4:22 p.m. ,10/25/2021,9:10 a.m. ,Monday,10/25/2021 4:26 p.m. ,Inactive 
Harassment ,21-0303 ,Rice Graduate Apartments ,10/26/2021 10:34 a.m. ,10/14/2021,midnight ,Thursday,10/26/2021 midnight ,Active 
Theft ,21-0304 ,South Central Plant ,10/26/2021 11:05 a.m. ,10/18/2021,12:30 p.m. ,Monday,10/25/2021 10:30 a.m. ,Inactive 
Theft ,21-0307 ,Jones College ,10/28/2021 11:02 a.m. ,10/27/2021,4 p.m. ,Wednesday,10/28/2021 5:45 a.m. ,Cleared 
Failure to Stop and Give Information ,21-0309 ,Lot 6 ,10/29/2021 3:24 p.m. ,10/29/2021,8:30 a.m. ,Friday,10/29/2021 9:30 a.m. ,Active 
Burglary (Clery) ,21-0311 ,Will Rice College ,10/29/2021 6:50 p.m. ,10/29/2021,1 p.m. ,Friday,10/29/2021 4 p.m. ,Active 
Theft ,21-0313 ,Fondren Library ,10/29/2021 5:43 p.m. ,10/29/2021,4 p.m. ,Friday,10/29/2021 4 p.m. ,Active 
Drug/Narcotic Violations (Clery) ,21-0314 ,Wiess College ,10/29/2021 10:29 p.m. ,10/29/2021,10:29 p.m. ,Friday,10/29/2021 10:58 p.m. ,Judicial Referral 
Theft ,21-0315 ,Rice Stadium ,10/30/2021 3 p.m. ,10/30/2021,2:45 p.m. ,Saturday,10/30/2021 2:50 p.m. ,Active 
Theft ,21-0316 ,Hanszen College ,10/30/2021 7:35 p.m. ,10/27/2021,midnight ,Wednesday,10/30/2021 8 p.m. ,Cleared 
Assault ,21-0317 ,Off Campus ,10/31/2021 1:12 a.m. ,10/30/2021,10:30 p.m. ,Saturday,10/30/2021 11 p.m. ,Inactive 
Theft ,21-0318 ,Rice Memorial Center ,11/01/2021 10:58 a.m. ,10/29/2021,3:40 p.m. ,Friday,10/29/2021 5:30 p.m. ,Active 
Theft ,21-0320 ,Wiess College ,11/03/2021 12:40 p.m. ,11/1/2021,5:10 p.m. ,Monday,11/02/2021 8 a.m. ,Active 
Theft ,21-0321 ,Wiess College ,11/03/2021 7:44 p.m. ,10/15/2021,10 p.m. ,Friday,10/17/2021 10 p.m. ,Active 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0322 ,Tudor Field House ,11/03/2021 11:24 p.m. ,11/3/2021,9:30 p.m. ,Wednesday,11/03/2021 11:20 p.m. ,Cleared 
Burglary (Clery) ,21-0324 ,Sid Richardson College ,11/04/2021 1:45 p.m. ,11/3/2021,5 p.m. ,Wednesday,11/03/2021 5:15 p.m. ,Active 
Burglary (Clery) ,21-0325 ,Sid Richardson College ,11/04/2021 2:42 p.m. ,11/3/2021,3:30 p.m. ,Wednesday,11/03/2021 6 p.m. ,Active 
Theft ,21-0326 ,Jones College ,11/04/2021 10 p.m. ,9/8/2021,9 a.m. ,Wednesday,09/08/2021 11 p.m. ,Inactive 
Fraud ,21-0327 ,Off Campus ,11/04/2021 9:33 p.m. ,11/4/2021,9:33 p.m. ,Thursday,11/04/2021 9:33 p.m. ,Judicial Referral 
Criminal Mischief ,21-0328 ,Willys Pub ,11/05/2021 8:35 a.m. ,11/5/2021,12:01 a.m. ,Friday,11/05/2021 12:30 a.m. ,Inactive 
Criminal Mischief ,21-0329 ,Rice Stadium ,11/08/2021 11:25 a.m. ,11/5/2021,5 p.m. ,Friday,11/08/2021 7:30 a.m. ,Active 
Theft ,21-0330 ,Facilities &amp; Engineering ,11/08/2021 1:07 p.m. ,9/17/2021,4 p.m. ,Friday,11/08/2021 11:30 a.m. ,Active 
Weapons Violations (Clery) ,21-0331 ,Jones College ,11/09/2021 9:36 a.m. ,10/31/2021,2 a.m. ,Sunday,10/31/2021 3 a.m. ,Unfounded 
Burglary (Clery) ,21-0332 ,Hanszen College ,11/09/2021 4:09 p.m. ,11/6/2021,11 p.m. ,Saturday,11/07/2021 7 a.m. ,Inactive 
Theft ,21-0334 ,Sid Richardson College ,11/10/2021 11:23 a.m. ,11/9/2021,6 p.m. ,Tuesday,11/10/2021 11 a.m. ,Active 
Harassment ,21-0335 ,Off Campus ,11/11/2021 9:21 a.m. ,10/26/2021,4 p.m. ,Tuesday,10/27/2021 2 p.m. ,Inactive 
Theft ,21-0336 ,Brown College ,11/11/2021 2:38 p.m. ,11/10/2021,9:30 p.m. ,Wednesday,11/11/2021 2:30 a.m. ,Active 
Credit Card Abuse ,21-0337 ,Brown College ,11/12/2021 2:21 p.m. ,11/12/2021,12:48 p.m. ,Friday,11/12/2021 1 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0338 ,Reckling Park ,11/12/2021 6:31 p.m. ,11/12/2021,1 p.m. ,Friday,11/12/2021 3:30 p.m. ,Active 
Theft ,21-0339 ,Keck Hall ,11/12/2021 5:39 p.m. ,11/12/2021,11 a.m. ,Friday,11/12/2021 12:30 p.m. ,Active 
Theft ,21-0340 ,Martel College ,11/13/2021 2:21 a.m. ,11/12/2021,8 p.m. ,Friday,11/12/2021 8:30 p.m. ,Unfounded 
Criminal Trespass ,21-0341 ,Cambridge Building ,11/14/2021 7:26 p.m. ,11/14/2021,5:45 p.m. ,Sunday,11/14/2021 7:32 p.m. ,Judicial Referral 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0343 ,Will Rice College ,11/15/2021 10:12 p.m. ,11/15/2021,7 p.m. ,Monday,11/15/2021 9:30 p.m. ,Inactive 
Theft ,21-0345 ,Sid Richardson College ,11/16/2021 12:39 p.m. ,11/15/2021,4 p.m. ,Monday,11/15/2021 9 p.m. ,Active 
Theft ,21-0346 ,Will Rice College ,11/16/2021 6:57 p.m. ,11/16/2021,9:50 a.m. ,Tuesday,11/16/2021 2 p.m. ,Inactive 
Theft ,21-0347 ,Rec Center ,11/16/2021 8:39 p.m. ,11/16/2021,4:30 p.m. ,Tuesday,11/16/2021 7:30 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0348 ,Will Rice College ,11/15/2021 11:18 p.m. ,11/15/2021,midnight ,Monday,11/15/2021 midnight ,Active 
Criminal Mischief ,21-0351 ,West Lot ,11/18/2021 10:30 p.m. ,11/17/2021,11:30 p.m. ,Wednesday,11/18/2021 10 p.m. ,Active 
Theft ,21-0352 ,Seibel Servery ,11/19/2021 10:05 a.m. ,10/25/2021,8 a.m. ,Monday,11/01/2021 5:30 p.m. ,Inactive 
Theft ,21-0354 ,Will Rice College ,11/19/2021 6:44 p.m. ,11/12/2021,midnight ,Friday,11/19/2021 midnight ,Active 
Impersonating a Police Officer ,21-0355 ,Sid Richardson College ,11/20/2021 10:04 a.m. ,11/20/2021,10:06 a.m. ,Saturday,11/20/2021 12:06 p.m. ,Active 
Theft ,21-0356 ,Will Rice College ,11/21/2021 1:37 p.m. ,11/13/2021,1 p.m. ,Saturday,11/21/2021 9:45 a.m. ,Active 
Weapons Violations (Clery) ,21-0358 ,Sid Richardson College ,11/21/2021 11:20 p.m. ,11/21/2021,11:15 p.m. ,Sunday,11/21/2021 11:20 p.m. ,Judicial Referral 
Theft ,21-0359 ,Will Rice College ,11/23/2021 2:01 p.m. ,11/15/2021,9 p.m. ,Monday,11/22/2021 4:30 p.m. ,Active 
Criminal Mischief ,21-0360 ,BRC ,11/24/2021 8:02 a.m. ,11/24/2021,6:30 a.m. ,Wednesday,11/24/2021 6:30 a.m. ,Inactive 
Fraud ,21-0363 ,Off Campus ,11/25/2021 4:23 p.m. ,11/24/2021,8 p.m. ,Wednesday,11/25/2021 8 a.m. ,Active 
Theft ,21-0365 ,Brown College ,11/30/2021 9:58 p.m. ,11/30/2021,6:25 a.m. ,Tuesday,11/30/2021 9:28 a.m. ,Inactive 
Theft ,21-0366 ,Sid Richardson College ,12/01/2021 11:19 a.m. ,11/22/2021,4 p.m. ,Monday,11/29/2021 10 a.m. ,Active 
Theft ,21-0367 ,Baker College ,12/01/2021 1:25 p.m. ,10/31/2021,noon ,Sunday,12/01/2021 12:30 p.m. ,Inactive 
Theft ,21-0368 ,Keck Hall ,12/02/2021 6:27 p.m. ,12/2/2021,6:20 p.m. ,Thursday,12/02/2021 7:30 p.m. ,Inactive 
Theft ,21-0370 ,Jones College ,12/03/2021 10:43 p.m. ,12/3/2021,3 p.m. ,Friday,12/03/2021 8 p.m. ,Inactive 
Fraud ,21-0374 ,Off Campus ,12/06/2021 8:38 a.m. ,11/17/2021,midnight ,Wednesday,11/18/2021 midnight ,Active 
Theft ,21-0375 ,BRC ,12/07/2021 1:37 p.m. ,12/3/2021,6:30 p.m. ,Friday,12/03/2021 8:45 p.m. ,Active 
Theft ,21-0378 ,Space Sciences ,12/10/2021 12:41 a.m. ,12/9/2021,11:05 a.m. ,Thursday,12/09/2021 8:30 p.m. ,Active 
Theft ,21-0379 ,Lovett College ,12/10/2021 4:33 p.m. ,12/5/2021,10 p.m. ,Sunday,12/10/2021 4 p.m. ,Active 
Theft ,21-0381 ,Will Rice College ,12/13/2021 12:49 p.m. ,11/6/2021,11:59 a.m. ,Saturday,11/07/2021 9 a.m. ,Active 
Theft ,21-0383 ,Off Campus ,12/14/2021 2:52 p.m. ,12/10/2021,noon ,Friday,12/10/2021 10 p.m. ,Referred other jurisdiction 
Theft ,21-0384 ,McMurtry College ,12/15/2021 12:57 a.m. ,11/13/2021,11:30 p.m. ,Saturday,12/13/2021 1 a.m. ,Active 
Theft ,21-0385 ,Will Rice College ,12/15/2021 6:40 p.m. ,11/30/2021,midnight ,Tuesday,12/15/2021 midnight ,Active 
Fraud ,21-0386 ,Off Campus ,12/14/2021 5:28 p.m. ,12/13/2021,midnight ,Monday,12/14/2021 5:28 p.m. ,Inactive 
Burglary of a Motor Vehicle ,21-0387 ,South Colleges Lot ,12/19/2021 2:57 p.m. ,12/18/2021,10 p.m. ,Saturday,12/19/2021 2:40 p.m. ,Inactive 
Theft ,21-0389 ,Rice Stadium ,12/21/2021 4:44 p.m. ,12/21/2021,4:44 p.m. ,Tuesday,12/21/2021 5:27 p.m. ,Inactive 
Burglary (Clery) ,21-0391 ,Reckling Park ,12/23/2021 3:07 p.m. ,12/23/2021,9:30 a.m. ,Thursday,12/23/2021 noon ,Active 
Theft ,21-0392 ,Wiess College ,12/23/2021 5:16 p.m. ,12/23/2021,5:16 p.m. ,Thursday,12/23/2021 5:22 p.m. ,Criminal Arrest 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0393 ,Sid Richardson College ,12/27/2021 8:48 a.m. ,12/27/2021,8:30 a.m. ,Monday,12/27/2021 9:15 a.m. ,Active 
Theft ,21-0394 ,Rice Village Apartments ,12/27/2021 2:44 p.m. ,12/27/2021,12:18 p.m. ,Monday,12/27/2021 12:18 p.m. ,Active 
Burglary (Clery) ,21-0395 ,Lovett College ,12/31/2021 1:39 p.m. ,12/18/2021,10 p.m. ,Saturday,12/20/2021 11:27 a.m. ,Inactive 
