Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Fraud ,20-0269 ,Off Campus ,11/24/2020 12:08 p.m. ,11/24/2020,8 a.m. ,Tuesday,11/24/2020 12:08 p.m. ,Inactive 
Burglary of a Motor Vehicle ,20-0270 ,Central Campus Garage ,11/24/2020 11:36 a.m. ,11/24/2020,11 a.m. ,Tuesday,11/24/2020 11:30 a.m. ,Inactive 
Prohibited Sexual Conduct ,20-0271 ,Off Campus ,11/29/2020 6:28 p.m. ,11/29/2020,6:16 p.m. ,Sunday,11/29/2020 6:16 p.m. ,Judicial Referral 
Criminal Mischief ,20-0272 ,Sewall Hall ,11/30/2020 1:32 p.m. ,11/30/2020,1:32 p.m. ,Monday,11/30/2020 1:32 p.m. ,Inactive 
Theft from a Vehicle ,20-0273 ,Greenbriar Lot ,12/02/2020 4:03 p.m. ,12/2/2020,5:30 a.m. ,Wednesday,12/02/2020 4:03 p.m. ,Inactive 
Theft ,20-0274 ,Keck Hall ,12/03/2020 1:55 p.m. ,11/4/2020,4 p.m. ,Wednesday,12/03/2020 1:30 p.m. ,Inactive 
Theft ,20-0277 ,Mudd Lab ,12/09/2020 1:11 p.m. ,11/1/2020,5 p.m. ,Sunday,12/03/2020 8 a.m. ,Inactive 
Fraud ,20-0279 ,Duncan College ,12/11/2020 9:56 a.m. ,12/6/2020,6:07 a.m. ,Sunday,12/11/2020 9:56 a.m. ,Inactive 
Fraud ,20-0280 ,Off Campus ,12/11/2020 2:18 p.m. ,12/10/2020,7:45 p.m. ,Thursday,12/11/2020 2:15 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0281 ,Tudor Field House ,12/17/2020 8:32 a.m. ,12/16/2020,8 p.m. ,Wednesday,12/16/2020 11:30 p.m. ,Inactive 
Fraud ,20-0282 ,IBC Building-5615 Kirby ,12/22/2020 11:28 a.m. ,12/21/2020,9 a.m. ,Monday,12/21/2020 6 p.m. ,Inactive 
Fraud ,20-0283 ,Rice Village Apartments ,12/24/2020 6:31 p.m. ,12/24/2020,4:09 a.m. ,Thursday,12/24/2020 7 p.m. ,Inactive 
Criminal Mischief ,20-0284 ,South Colleges Lot ,12/28/2020 8:46 a.m. ,12/23/2020,8 a.m. ,Wednesday,12/28/2020 3:09 p.m. ,Inactive 
Theft ,21-0001 ,Duncan College ,01/05/2021 2:48 p.m. ,1/1/2021,2 p.m. ,Friday,01/04/2021 12:15 p.m. ,Inactive 
Theft ,21-0002 ,BRC ,01/08/2021 5:13 a.m. ,1/7/2021,10 p.m. ,Thursday,01/08/2021 5:13 a.m. ,Inactive 
Theft ,21-0004 ,BRC ,01/14/2021 6:48 p.m. ,1/14/2021,9:30 a.m. ,Thursday,01/14/2021 6:45 p.m. ,Inactive 
Theft ,21-0005 ,Mechanical Engineering ,01/19/2021 12:02 p.m. ,1/19/2021,9 a.m. ,Tuesday,01/19/2021 11:45 a.m. ,Inactive 
Theft ,21-0006 ,Geology ,01/20/2021 10:57 a.m. ,1/14/2021,11:15 a.m. ,Thursday,01/15/2021 1 p.m. ,Inactive 
Burglary of a Motor Vehicle ,21-0008 ,Laboratory Road ,01/25/2021 7:07 p.m. ,1/25/2021,7 p.m. ,Monday,01/25/2021 7:05 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0009 ,Facilities &amp; Engineering ,01/26/2021 7:45 a.m. ,12/23/2020,midnight ,Wednesday,01/05/2021 midnight ,Active 
Burglary of a Motor Vehicle ,21-0010 ,Greenbriar Lot ,01/26/2021 3:48 p.m. ,1/26/2021,10:30 a.m. ,Tuesday,01/26/2021 11:30 a.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,21-0011 ,Post Office ,01/26/2021 12:09 p.m. ,1/26/2021,12:09 p.m. ,Tuesday,01/26/2021 1:09 p.m. ,Inactive 
Burglary (Clery) ,21-0012 ,Reckling Park ,01/27/2021 8:26 a.m. ,1/26/2021,3:40 p.m. ,Tuesday,01/27/2021 7:10 a.m. ,Inactive 
Fraud ,21-0014 ,Cambridge Building ,01/29/2021 12:12 p.m. ,1/10/2021,midnight ,Sunday,01/10/2021 11 p.m. ,Inactive 
Criminal Trespass ,21-0015 ,Academic Quad ,02/01/2021 2:51 a.m. ,1/31/2021,10:20 p.m. ,Sunday,02/01/2021 3 a.m. ,Criminal Arrest 
Fraud ,21-0016 ,Off Campus ,02/05/2021 10:14 a.m. ,1/26/2021,midnight ,Tuesday,01/26/2021 midnight ,Inactive 
Fraud ,21-0017 ,Cambridge Building ,02/05/2021 4:19 p.m. ,1/25/2021,2:20 p.m. ,Monday,01/25/2021 2:20 p.m. ,Inactive 
Criminal Mischief ,21-0018 ,Greenbriar Lot ,02/06/2021 2:20 p.m. ,2/6/2021,1 p.m. ,Saturday,02/06/2021 2:25 p.m. ,Inactive 
Fraud ,21-0023 ,Cambridge Building ,02/10/2021 3:08 p.m. ,2/9/2021,2:15 p.m. ,Tuesday,02/09/2021 2:15 p.m. ,Inactive 
Fraud ,21-0024 ,Cambridge Building ,02/12/2021 11:17 a.m. ,2/5/2021,midnight ,Friday,02/05/2021 midnight ,Inactive 
Fraud ,21-0027 ,Cambridge Building ,02/18/2021 12:11 p.m. ,2/5/2021,8:03 a.m. ,Friday,02/05/2021 8:03 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0028 ,Cambridge Building ,02/20/2021 6:18 p.m. ,2/20/2021,4:59 p.m. ,Saturday,02/20/2021 7:35 p.m. ,Inactive 
Fraud ,21-0029 ,Baker College ,02/21/2021 1:54 p.m. ,2/20/2021,midnight ,Saturday,02/20/2021 midnight ,Inactive 
